 ,Area,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
43,0.502,2.718,65.872,38.239,0.930,0.837,1.106,0.578,36.047,0.854,1.136,708,419,34.992,0.645,1.912,0.523,0.885
44,0.303,1.983,24.283,41.868,0.651,0.558,0.717,0.538,27.804,0.968,0.800,261,455,35.538,0.558,1.331,0.751,0.921
45,0.346,2.115,41.124,43.171,0.558,0.744,0.810,0.545,69.041,0.973,0.878,443,472,57.995,0.558,1.487,0.673,0.930
46,1.047,4.043,67.733,43.264,1.396,1.023,1.465,0.910,168.076,0.805,1.503,728,467,158.199,1.023,1.609,0.622,0.886
47,0.338,2.006,59.453,44.380,0.651,0.651,0.687,0.626,45.002,1.000,0.750,639,483,29.745,0.651,1.097,0.912,0.918
48,3.108,7.210,71.920,45.124,2.419,2.140,2.575,1.536,37.713,0.751,2.573,775,506,49.399,1.600,1.676,0.597,0.883
49,2.199,6.552,47.264,45.776,2.326,1.675,2.492,1.124,30.518,0.644,2.666,508,509,29.249,1.342,2.217,0.451,0.857
50,0.900,3.594,44.938,46.241,1.210,1.023,1.360,0.843,27.268,0.876,1.420,483,506,31.608,0.898,1.614,0.620,0.912
51,1.939,5.105,70.059,46.241,1.582,1.489,1.583,1.560,34.905,0.935,1.787,756,513,51.340,1.489,1.015,0.985,0.947
52,0.121,1.162,37.681,46.985,0.372,0.372,0.397,0.389,2.771E-13,1.000,0.465,405,505,126.870,0.372,1.020,0.981,0.933
53,0.770,3.507,62.337,47.357,1.303,0.930,1.244,0.788,161.872,0.787,1.355,670,511,164.055,0.864,1.579,0.633,0.848
54,0.450,2.927,60.197,47.916,1.023,0.651,0.965,0.594,8.275,0.660,1.124,647,521,24.444,0.651,1.625,0.615,0.825
55,0.069,0.921,70.803,49.032,0.372,0.279,0.376,0.234,160.670,1.000,0.416,761,527,153.435,0.279,1.605,0.623,0.800
56,0.978,3.671,9.862,51.358,1.210,1.116,1.206,1.033,27.603,0.912,1.342,107,562,33.690,1.110,1.167,0.857,0.900
57,0.139,1.271,75.828,54.708,0.372,0.372,0.420,0.420,0.000,1.000,0.526,815,588,135.000,0.372,1.000,1.000,1.000
58,0.208,1.688,17.957,57.685,0.558,0.558,0.624,0.424,25.670,0.916,0.671,194,626,56.310,0.471,1.474,0.679,0.828
59,0.935,3.989,54.056,58.150,1.489,1.023,1.625,0.733,27.570,0.738,1.628,582,636,30.964,0.808,2.217,0.451,0.882
60,0.121,1.162,73.781,58.522,0.372,0.372,0.397,0.389,90.000,1.000,0.465,794,629,126.870,0.372,1.020,0.981,0.933
61,0.476,2.487,30.889,63.081,0.651,0.837,0.879,0.689,81.297,0.967,0.930,332,686,53.130,0.651,1.276,0.784,0.940
62,0.130,1.293,76.665,64.105,0.372,0.465,0.443,0.373,84.116,0.976,0.501,826,689,111.801,0.372,1.186,0.843,0.882
